Document ID,consent,group,initial_answers,initial_quiz_time,initial_selected_options,retry_answers,retry_quiz_time,retry_selected_options,subgroup,user_id,participantID,age,education,gender,income,initial_list,1Q1,1Q2,1Q3,1Q4,1Q5,1Q6,1Q7,retry_list,2Q1,2Q2,2Q3,2Q4,2Q5,2Q6,2Q7,1Q_acc,2Q_acc
KZ-MWUM-FR7M,TRUE,2,"[true, true, true, true, false, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety"", ""Yes, but only if I am notified and consent.""]",[],,[],"""B""","""KZ-MWUM-FR7M""",pfd15e074,,,,,"[True, True, True, True, False, True, True]",1,1,1,1,0,1,1,[],,,,,,,,0.857142857,
KZ-BAJZ-9BQL,TRUE,0,"[true, true, true, false, false, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By suspending the childâ€™s account until further notice"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a parent publicly shares the childâ€™s account details""]",,,,,"""KZ-BAJZ-9BQL""",pda137673,57,"""completedBachelorsDegree""","""male""",,"[True, True, True, False, False, False]",1,1,1,0,0,0,,,,,,,,,,0.5,
KZ-KMCR-35QX,FALSE,2,"[true, true, true, false, false, true, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety"", ""No, none of my childâ€™s data will be used to train AI models.""]","[true, true, true, false, false, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety"", ""Yes, but only if I am notified and consent.""]","""B""","""KZ-KMCR-35QX""",pf897ef7a,41,"""completedBachelorsDegree""","""female""",,"[True, True, True, False, False, True, False]",1,1,1,0,0,1,0,"[True, True, True, False, False, True, True]",1,1,1,0,0,1,1,0.571428571,0.714285714
KZ-JE28-YCLG,FALSE,3,"[false, false, false, false, true, false]",,"[""Physical home address"", ""By disabling the app from their phone"", ""Only collects it from children over the age of 10"", ""By a vote from the KidsZone moderation team"", ""For children under 13 years old before collecting personal information"", ""When a third-party company requests it for advertising""]","[false, true, false, false, false, true]",,"[""Social Security Number"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Only collects it from children over the age of 10"", ""By a vote from the KidsZone moderation team"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]",,"""KZ-JE28-YCLG""",paae2f0b2,48,"""completedAssociateDegreeOnly""","""male""","""$40,000 to $59,999""","[False, False, False, False, True, False]",0,0,0,0,1,0,,"[False, True, False, False, False, True]",0,1,0,0,0,1,,0.166666667,0.333333333
KZ-XST7-25UA,FALSE,3,"[false, true, false, false, false, true]",,"[""Physical home address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Only collects it from children over the age of 10"", ""By a vote from the KidsZone moderation team"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]","[true, false, true, true, true, false]",,"[""Web browser type or IP address"", ""By reporting the childâ€™s profile to moderators"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details""]",,"""KZ-XST7-25UA""",pbbd6c59d,36,"""completedBachelorsDegree""","""female""","""$115,000 to $149,999""","[False, True, False, False, False, True]",0,1,0,0,0,1,,"[True, False, True, True, True, False]",1,0,1,1,1,0,,0.333333333,0.666666667
KZ-FBSB-Z8FE,TRUE,2,"[false, true, true, true, true, true, true]",,"[""All of the above"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety"", ""Yes, but only if I am notified and consent.""]",[],,[],"""B""","""KZ-FBSB-Z8FE""",pb495a678,34,"""completedAssociateDegreeOnly""","""male""","""$85,000 to $114,999""","[False, True, True, True, True, True, True]",0,1,1,1,1,1,1,[],,,,,,,,0.857142857,
KZ-G8CV-UDB2,TRUE,0,"[true, true, true, true, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",,,,,"""KZ-G8CV-UDB2""",pdc57175d,45,"""completedMastersDegree""","""male""","""$85,000 to $114,999""","[True, True, True, True, True, True]",1,1,1,1,1,1,,,,,,,,,,1,
KZ-HYGS-SFJH,FALSE,2,"[false, true, false, false, false, false, true]",,"[""Physical home address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Automatically masks it before storing"", ""By a vote from the KidsZone moderation team"", ""Only if the website knows the user is under 10 years old"", ""When a parent publicly shares the childâ€™s account details"", ""Yes, and this may occur without my consent.""]","[false, true, true, false, true, false, false]",,"[""Physical home address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By suspending the childâ€™s account until further notice"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details"", ""Yes, but only if I am notified and consent.""]","""A""","""KZ-HYGS-SFJH""",pdba0ff0c,39,"""completedOnlyHighSchoolOrTheEquivalent""","""female""","""$25,000 to $39,999""","[False, True, False, False, False, False, True]",0,1,0,0,0,0,1,"[False, True, True, False, True, False, False]",0,1,1,0,1,0,0,0.285714286,0.428571429
KZ-T6WH-FNL2,FALSE,3,"[true, true, true, false, false, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By suspending the childâ€™s account until further notice"", ""Only if the website knows the user is under 10 years old"", ""To perform business functions, comply with laws, or protect safety""]","[true, true, true, false, false, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a parent publicly shares the childâ€™s account details""]",,"""KZ-T6WH-FNL2""",pf5e3bf1f,52,"""completedOnlyHighSchoolOrTheEquivalent""","""female""","""$25,000 to $39,999""","[True, True, True, False, False, True]",1,1,1,0,0,1,,"[True, True, True, False, False, False]",1,1,1,0,0,0,,0.666666667,0.5
KZ-HCT6-BFLG,TRUE,3,"[false, true, true, true, true, true]",,"[""All of the above"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",[],,[],,"""KZ-HCT6-BFLG""",pdaf18de1,26,"""completedOnlyHighSchoolOrTheEquivalent""","""female""","""$40,000 to $59,999""","[False, True, True, True, True, True]",0,1,1,1,1,1,,[],,,,,,,,0.833333333,
KZ-FCB3-TL9A,TRUE,1,"[false, true, false, false, true, false]",,"[""All of the above"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Automatically masks it before storing"", ""Through a public court hearing in the childâ€™s home state"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details""]",,,,,"""KZ-FCB3-TL9A""",pda946a87,32,"""completedOnlyHighSchoolOrTheEquivalent""","""male""","""$60,000 to $84,999""","[False, True, False, False, True, False]",0,1,0,0,1,0,,,,,,,,,,0.333333333,
KZ-EKE9-SDY6,TRUE,2,"[true, true, true, true, true, true, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety"", ""No, only anonymized data will be used to train AI models.""]",[],,[],"""A""","""KZ-EKE9-SDY6""",pb58c90e4,42,"""completedBachelorsDegree""","""male""","""$60,000 to $84,999""","[True, True, True, True, True, True, False]",1,1,1,1,1,1,0,[],,,,,,,,0.857142857,
KZ-SN4U-PXPL,TRUE,3,"[true, true, true, true, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",[],,[],,"""KZ-SN4U-PXPL""",pff0947fb,49,"""completedOnlyHighSchoolOrTheEquivalent""","""female""","""$25,000 to $39,999""","[True, True, True, True, True, True]",1,1,1,1,1,1,,[],,,,,,,,1,
KZ-2Z3J-L28P,TRUE,1,"[false, false, true, false, false, false]",,"[""Social Security Number"", ""By reporting the childâ€™s profile to moderators"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""Only if the website knows the user is under 10 years old"", ""When a parent publicly shares the childâ€™s account details""]",,,,,"""KZ-2Z3J-L28P""",pc71fe170,31,"""completedMastersDegree""","""male""","""$85,000 to $114,999""","[False, False, True, False, False, False]",0,0,1,0,0,0,,,,,,,,,,0.166666667,
KZ-6U9M-WL8B,TRUE,2,"[true, true, true, false, true, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By suspending the childâ€™s account until further notice"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety"", ""Yes, but only if I am notified and consent.""]",[],,[],"""B""","""KZ-6U9M-WL8B""",pa82615b1,31,"""completedMastersDegree""","""male""","""$150,000 to $199,999""","[True, True, True, False, True, True, True]",1,1,1,0,1,1,1,[],,,,,,,,0.857142857,
KZ-R6SB-GS94,FALSE,3,"[false, true, false, false, false, true]",,"[""All of the above"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Requests approval from the app store"", ""Through a public court hearing in the childâ€™s home state"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]","[false, true, true, false, false, false]",,"[""All of the above"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a third-party company requests it for advertising""]",,"""KZ-R6SB-GS94""",pa9b2a477,41,"""completedOnlyHighSchoolOrTheEquivalent""","""female""","""$85,000 to $114,999""","[False, True, False, False, False, True]",0,1,0,0,0,1,,"[False, True, True, False, False, False]",0,1,1,0,0,0,,0.333333333,0.333333333
KZ-2TN8-XXYP,TRUE,3,"[true, true, true, true, false, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]",[],,[],,"""KZ-2TN8-XXYP""",pb6334016,33,"""completedDoctorateDegree""","""male""","""$60,000 to $84,999""","[True, True, True, True, False, True]",1,1,1,1,0,1,,[],,,,,,,,0.833333333,
KZ-WQXA-Q8T9,TRUE,0,"[true, true, false, true, false, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Requests approval from the app store"", ""A binding decision is made outside of court by a third party"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a parent publicly shares the childâ€™s account details""]",,,,,"""KZ-WQXA-Q8T9""",pb93b5b77,32,"""completedBachelorsDegree""","""male""","""$85,000 to $114,999""","[True, True, False, True, False, False]",1,1,0,1,0,0,,,,,,,,,,0.5,
KZ-NKPP-G9KE,FALSE,3,"[false, false, true, false, false, false]",,"[""None of the above"", ""By disabling the app from their phone"", ""Seeks verifiable parental consent before collection"", ""By suspending the childâ€™s account until further notice"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a parent publicly shares the childâ€™s account details""]","[true, true, true, false, true, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For children under 13 years old before collecting personal information"", ""When a third-party company requests it for advertising""]",,"""KZ-NKPP-G9KE""",pbb25c2d2,24,"""completedBachelorsDegree""","""female""","""$200,000 or more""","[False, False, True, False, False, False]",0,0,1,0,0,0,,"[True, True, True, False, True, False]",1,1,1,0,1,0,,0.166666667,0.666666667
KZ-765C-937K,TRUE,2,"[true, true, true, true, true, false, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details"", ""Yes, but only if I am notified and consent.""]","[true, true, true, true, false, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""Only if the website knows the user is under 10 years old"", ""To perform business functions, comply with laws, or protect safety"", ""Yes, and this may occur without my consent.""]","""A""","""KZ-765C-937K""",pd75b90c4,49,"""completedOnlyHighSchoolOrTheEquivalent""","""female""","""$60,000 to $84,999""","[True, True, True, True, True, False, False]",1,1,1,1,1,0,0,"[True, True, True, True, False, True, True]",1,1,1,1,0,1,1,0.714285714,0.857142857
KZ-NFP9-8VLZ,TRUE,2,"[false, true, true, true, false, true, true]",,"[""None of the above"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety"", ""Yes, but only if I am notified and consent.""]","[true, true, true, true, true, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety"", ""Yes, but only if I am notified and consent.""]","""B""","""KZ-NFP9-8VLZ""",pa3f79b23,34,"""completedBachelorsDegree""","""female""","""$60,000 to $84,999""","[False, True, True, True, False, True, True]",0,1,1,1,0,1,1,"[True, True, True, True, True, True, True]",1,1,1,1,1,1,1,0.714285714,1
KZ-73F6-JVRR,TRUE,3,"[true, true, true, false, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",[],,[],,"""KZ-73F6-JVRR""",pb5866237,45,"""completedBachelorsDegree""","""female""","""$115,000 to $149,999""","[True, True, True, False, True, True]",1,1,1,0,1,1,,[],,,,,,,,0.833333333,
KZ-FTEL-HGUL,FALSE,3,"[false, true, true, false, false, false]",,"[""Social Security Number"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a parent publicly shares the childâ€™s account details""]","[false, false, false, false, false, false]",,"[""Social Security Number"", ""By clearing their internet browser history"", ""Automatically masks it before storing"", ""By a vote from the KidsZone moderation team"", ""Only if the website knows the user is under 10 years old"", ""Only if the child wins a prize""]",,"""KZ-FTEL-HGUL""",pb273b2fd,28,"""completedOnlyHighSchoolOrTheEquivalent""","""male""","""$25,000 to $39,999""","[False, True, True, False, False, False]",0,1,1,0,0,0,,"[False, False, False, False, False, False]",0,0,0,0,0,0,,0.333333333,0
KZ-MVQP-YHSV,TRUE,0,"[true, true, true, true, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",,,,,"""KZ-MVQP-YHSV""",pcee230fb,29,"""completedMastersDegree""","""female""","""$115,000 to $149,999""","[True, True, True, True, True, True]",1,1,1,1,1,1,,,,,,,,,,1,
KZ-8257-FLPS,TRUE,1,"[true, false, true, true, false, false]",,"[""Web browser type or IP address"", ""By disabling the app from their phone"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""Only if the website knows the user is under 10 years old"", ""When a third-party company requests it for advertising""]",,,,,"""KZ-8257-FLPS""",pb8391dc6,30,"""completedBachelorsDegree""","""female""","""$115,000 to $149,999""","[True, False, True, True, False, False]",1,0,1,1,0,0,,,,,,,,,,0.5,
KZ-YJ4Z-9SHC,TRUE,3,"[true, true, true, true, true, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""A binding decision is made outside of court by a third party"", ""For children under 13 years old before collecting personal information"", ""To perform business functions, comply with laws, or protect safety""]",[],,[],,"""KZ-YJ4Z-9SHC""",pf02c2cf8,30,"""completedAssociateDegreeOnly""","""male""","""$200,000 or more""","[True, True, True, True, True, True]",1,1,1,1,1,1,,[],,,,,,,,1,
KZ-NZMV-EUKH,TRUE,0,"[true, false, true, false, true, false]",,"[""Web browser type or IP address"", ""By disabling the app from their phone"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details""]",,,,,"""KZ-NZMV-EUKH""",pa8ab66a2,41,"""completedTradeTechicalVocationalTraing""","""male""","""$40,000 to $59,999""","[True, False, True, False, True, False]",1,0,1,0,1,0,,,,,,,,,,0.5,
KZ-CDDX-DAR9,FALSE,2,"[false, false, true, false, true, false, false]",,"[""Physical home address"", ""By clearing their internet browser history"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details"", ""No, only anonymized data will be used to train AI models.""]","[true, true, true, false, false, false, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""By a vote from the KidsZone moderation team"", ""For any individual under the age of 18 using a U.S.-based website"", ""When a parent publicly shares the childâ€™s account details"", ""Yes, but only if I am notified and consent.""]","""A""","""KZ-CDDX-DAR9""",pa26227f0,64,"""completedOnlyHighSchoolOrTheEquivalent""","""female""","""$60,000 to $84,999""","[False, False, True, False, True, False, False]",0,0,1,0,1,0,0,"[True, True, True, False, False, False, False]",1,1,1,0,0,0,0,0.285714286,0.428571429
KZ-HUME-LESG,FALSE,3,"[true, true, false, false, false, true]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Automatically masks it before storing"", ""By a vote from the KidsZone moderation team"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]","[false, true, true, false, false, true]",,"[""Physical home address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Seeks verifiable parental consent before collection"", ""Through a public court hearing in the childâ€™s home state"", ""For any individual under the age of 18 using a U.S.-based website"", ""To perform business functions, comply with laws, or protect safety""]",,"""KZ-HUME-LESG""",pd7447ecf,36,"""completedOnlyHighSchoolOrTheEquivalent""","""female""","""$25,000 to $39,999""","[True, True, False, False, False, True]",1,1,0,0,0,1,,"[False, True, True, False, False, True]",0,1,1,0,0,1,,0.5,0.5
KZ-8VCH-46U5,TRUE,0,"[true, true, false, false, true, false]",,"[""Web browser type or IP address"", ""By logging in to the childâ€™s account or contacting KidsZone to make the request"", ""Requests approval from the app store"", ""By suspending the childâ€™s account until further notice"", ""For children under 13 years old before collecting personal information"", ""When a parent publicly shares the childâ€™s account details""]",,,,,"""KZ-8VCH-46U5""",pcaf0066e,33,"""completedMastersDegree""","""male""","""$150,000 to $199,999""","[True, True, False, False, True, False]",1,1,0,0,1,0,,,,,,,,,,0.5,
